*** Setting up environment
*** Setting up first AFP user
*** Configuring shared volume
*** Fixing permissions
*** Removing residual lock files
*** Configuring Netatalk
NOTE: Set the `ATALKD_INTERFACE' environment variable to start DDP services.
*** Starting AFP server
*** Running testsuite: speed

test_name,iteration,file_size_mb,microseconds,throughput_mbs
Read,1,8.000,1691,4730.93
Read,2,8.000,1807,4427.23
Read,3,8.000,1718,4656.58
Read,4,8.000,1684,4750.59
Read,5,8.000,1791,4466.78
Read_mean,,8.000,1738,4602.46
Read_median,,8.000,1718,4656.58
Read_stddev,,8.000,51,
Read_min,,8.000,1684,4750.59
Read_max,,8.000,1807,4427.23
Write,1,8.000,4838,1653.58
Write,2,8.000,4799,1667.01
Write,3,8.000,4209,1900.69
Write,4,8.000,4362,1834.02
Write,5,8.000,4072,1964.64
Write_mean,,8.000,4456,1795.33
Write_median,,8.000,4362,1834.02
Write_stddev,,8.000,310,
Write_min,,8.000,4072,1964.64
Write_max,,8.000,4838,1653.58
Copy,1,8.000,4124,1939.86
Copy,2,8.000,4013,1993.52
Copy,3,8.000,4047,1976.77
Copy,4,8.000,4035,1982.65
Copy,5,8.000,4148,1928.64
Copy_mean,,8.000,4073,1963.96
Copy_median,,8.000,4047,1976.77
Copy_stddev,,8.000,52,
Copy_min,,8.000,4013,1993.52
Copy_max,,8.000,4148,1928.64
ServerCopy,1,8.000,2428,3294.89
ServerCopy,2,8.000,2501,3198.72
ServerCopy,3,8.000,2400,3333.33
ServerCopy,4,8.000,2532,3159.56
ServerCopy,5,8.000,2498,3202.56
ServerCopy_mean,,8.000,2471,3236.51
ServerCopy_median,,8.000,2498,3202.56
ServerCopy_stddev,,8.000,49,
ServerCopy_min,,8.000,2400,3333.33
ServerCopy_max,,8.000,2532,3159.56
Read,1,16.000,3042,5259.70
Read,2,16.000,3149,5080.98
Read,3,16.000,3298,4851.43
Read,4,16.000,3371,4746.37
Read,5,16.000,3174,5040.96
Read_mean,,16.000,3206,4989.40
Read_median,,16.000,3174,5040.96
Read_stddev,,16.000,115,
Read_min,,16.000,3042,5259.70
Read_max,,16.000,3371,4746.37
Write,1,16.000,9726,1645.08
Write,2,16.000,9251,1729.54
Write,3,16.000,9082,1761.73
Write,4,16.000,9671,1654.43
Write,5,16.000,32747,488.59
Write_mean,,16.000,14095,1135.12
Write_median,,16.000,9671,1654.43
Write_stddev,,16.000,9329,
Write_min,,16.000,9082,1761.73
Write_max,,16.000,32747,488.59
Copy,1,16.000,8268,1935.17
Copy,2,16.000,6658,2403.12
Copy,3,16.000,6693,2390.56
Copy,4,16.000,6767,2364.42
Copy,5,16.000,6644,2408.19
Copy_mean,,16.000,7006,2283.76
Copy_median,,16.000,6693,2390.56
Copy_stddev,,16.000,632,
Copy_min,,16.000,6644,2408.19
Copy_max,,16.000,8268,1935.17
ServerCopy,1,16.000,4695,3407.88
ServerCopy,2,16.000,4672,3424.66
ServerCopy,3,16.000,4635,3452.00
ServerCopy,4,16.000,4543,3521.90
ServerCopy,5,16.000,4545,3520.35
ServerCopy_mean,,16.000,4618,3464.70
ServerCopy_median,,16.000,4635,3452.00
ServerCopy_stddev,,16.000,63,
ServerCopy_min,,16.000,4543,3521.90
ServerCopy_max,,16.000,4695,3407.88
Read,1,32.000,5991,5341.35
Read,2,32.000,5893,5430.17
Read,3,32.000,5597,5717.35
Read,4,32.000,5234,6113.87
Read,5,32.000,5283,6057.16
Read_mean,,32.000,5599,5714.69
Read_median,,32.000,5597,5717.35
Read_stddev,,32.000,307,
Read_min,,32.000,5234,6113.87
Read_max,,32.000,5991,5341.35
Write,1,32.000,48709,656.96
Write,2,32.000,93248,343.17
Write,3,32.000,109674,291.77
Write,4,32.000,48089,665.43
Write,5,32.000,93921,340.71
Write_mean,,32.000,78728,406.46
Write_median,,32.000,93248,343.17
Write_stddev,,32.000,25452,
Write_min,,32.000,48089,665.43
Write_max,,32.000,109674,291.77
Copy,1,32.000,14438,2216.37
Copy,2,32.000,14275,2241.68
Copy,3,32.000,14213,2251.46
Copy,4,32.000,14291,2239.17
Copy,5,32.000,14130,2264.69
Copy_mean,,32.000,14269,2242.56
Copy_median,,32.000,14275,2241.68
Copy_stddev,,32.000,101,
Copy_min,,32.000,14130,2264.69
Copy_max,,32.000,14438,2216.37
ServerCopy,1,32.000,9173,3488.50
ServerCopy,2,32.000,9188,3482.80
ServerCopy,3,32.000,9203,3477.13
ServerCopy,4,32.000,9294,3443.08
ServerCopy,5,32.000,9270,3452.00
ServerCopy_mean,,32.000,9225,3468.61
ServerCopy_median,,32.000,9203,3477.13
ServerCopy_stddev,,32.000,47,
ServerCopy_min,,32.000,9173,3488.50
ServerCopy_max,,32.000,9294,3443.08
Read,1,64.000,11089,5771.49
Read,2,64.000,11118,5756.43
Read,3,64.000,11002,5817.12
Read,4,64.000,9416,6796.94
Read,5,64.000,9516,6725.51
Read_mean,,64.000,10428,6137.20
Read_median,,64.000,11002,5817.12
Read_stddev,,64.000,787,
Read_min,,64.000,9416,6796.94
Read_max,,64.000,11118,5756.43
Write,1,64.000,143116,447.19
Write,2,64.000,158906,402.75
Write,3,64.000,140828,454.46
Write,4,64.000,202678,315.77
Write,5,64.000,157405,406.59
Write_mean,,64.000,160586,398.54
Write_median,,64.000,157405,406.59
Write_stddev,,64.000,22272,
Write_min,,64.000,140828,454.46
Write_max,,64.000,202678,315.77
Copy,1,64.000,27991,2286.45
Copy,2,64.000,28270,2263.88
Copy,3,64.000,28073,2279.77
Copy,4,64.000,30775,2079.61
Copy,5,64.000,28066,2280.34
Copy_mean,,64.000,28635,2235.03
Copy_median,,64.000,28073,2279.77
Copy_stddev,,64.000,1073,
Copy_min,,64.000,27991,2286.45
Copy_max,,64.000,30775,2079.61
ServerCopy,1,64.000,17596,3637.19
ServerCopy,2,64.000,17512,3654.64
ServerCopy,3,64.000,17579,3640.71
ServerCopy,4,64.000,17622,3631.82
ServerCopy,5,64.000,17545,3647.76
ServerCopy_mean,,64.000,17570,3642.41
ServerCopy_median,,64.000,17579,3640.71
ServerCopy_stddev,,64.000,38,
ServerCopy_min,,64.000,17512,3654.64
ServerCopy_max,,64.000,17622,3631.82
Read,1,128.000,20998,6095.82
Read,2,128.000,20741,6171.35
Read,3,128.000,20632,6203.96
Read,4,128.000,20682,6188.96
Read,5,128.000,20548,6229.32
Read_mean,,128.000,20720,6177.55
Read_median,,128.000,20682,6188.96
Read_stddev,,128.000,152,
Read_min,,128.000,20548,6229.32
Read_max,,128.000,20998,6095.82
Write,1,128.000,342971,373.21
Write,2,128.000,301188,424.98
Write,3,128.000,345641,370.33
Write,4,128.000,300708,425.66
Write,5,128.000,351417,364.24
Write_mean,,128.000,328385,389.79
Write_median,,128.000,342971,373.21
Write_stddev,,128.000,22568,
Write_min,,128.000,300708,425.66
Write_max,,128.000,351417,364.24
Copy,1,128.000,58653,2182.33
Copy,2,128.000,61389,2085.06
Copy,3,128.000,58100,2203.10
Copy,4,128.000,58076,2204.01
Copy,5,128.000,58481,2188.75
Copy_mean,,128.000,58939,2171.71
Copy_median,,128.000,58481,2188.75
Copy_stddev,,128.000,1244,
Copy_min,,128.000,58076,2204.01
Copy_max,,128.000,61389,2085.06
ServerCopy,1,128.000,35037,3653.28
ServerCopy,2,128.000,35097,3647.04
ServerCopy,3,128.000,35217,3634.61
ServerCopy,4,128.000,34921,3665.42
ServerCopy,5,128.000,35124,3644.23
ServerCopy_mean,,128.000,35079,3648.89
ServerCopy_median,,128.000,35097,3647.04
ServerCopy_stddev,,128.000,98,
ServerCopy_min,,128.000,34921,3665.42
ServerCopy_max,,128.000,35217,3634.61
Read,1,256.000,37808,6771.05
Read,2,256.000,37642,6800.91
Read,3,256.000,37969,6742.34
Read,4,256.000,37862,6761.40
Read,5,256.000,37768,6778.22
Read_mean,,256.000,37809,6770.73
Read_median,,256.000,37808,6771.05
Read_stddev,,256.000,107,
Read_min,,256.000,37642,6800.91
Read_max,,256.000,37969,6742.34
Write,1,256.000,648278,394.89
Write,2,256.000,641291,399.19
Write,3,256.000,662428,386.46
Write,4,256.000,648597,394.70
Write,5,256.000,642807,398.25
Write_mean,,256.000,648680,394.65
Write_median,,256.000,648278,394.89
Write_stddev,,256.000,7460,
Write_min,,256.000,641291,399.19
Write_max,,256.000,662428,386.46
Copy,1,256.000,113766,2250.23
Copy,2,256.000,112937,2266.75
Copy,3,256.000,113022,2265.05
Copy,4,256.000,114799,2229.98
Copy,5,256.000,116333,2200.58
Copy_mean,,256.000,114171,2242.24
Copy_median,,256.000,113766,2250.23
Copy_stddev,,256.000,1270,
Copy_min,,256.000,112937,2266.75
Copy_max,,256.000,116333,2200.58
ServerCopy,1,256.000,70224,3645.48
ServerCopy,2,256.000,69701,3672.83
ServerCopy,3,256.000,69718,3671.94
ServerCopy,4,256.000,69806,3667.31
ServerCopy,5,256.000,69895,3662.64
ServerCopy_mean,,256.000,69868,3664.01
ServerCopy_median,,256.000,69806,3667.31
ServerCopy_stddev,,256.000,190,
ServerCopy_min,,256.000,69701,3672.83
ServerCopy_max,,256.000,70224,3645.48

# File Size Performance Summary for Read
file_size_bytes,file_size_mb,mean_throughput_mbs,median_throughput_mbs,min_throughput_mbs,max_throughput_mbs,stddev_ms,mean_time_ms
4096,0.004,95.74,95.27,93.01,100.16,0.0,0.0
8192,0.008,155.63,162.76,130.21,166.22,0.0,0.1
16384,0.016,361.69,372.02,339.67,372.02,0.0,0.0
32768,0.031,653.77,637.76,625.00,694.44,0.0,0.0
65536,0.062,1211.24,1225.49,1157.41,1250.00,0.0,0.1
131072,0.125,2349.62,2403.85,2155.17,2450.98,0.0,0.1
262144,0.250,2759.38,2747.25,2525.25,3125.00,0.0,0.1
524288,0.500,4629.63,4807.69,4201.68,4901.96,0.0,0.1
1048576,1.000,4906.77,4830.92,4347.83,5555.56,0.0,0.2
2097152,2.000,4226.54,4385.96,3766.48,4555.81,0.0,0.5
4194304,4.000,6351.22,6379.59,6116.21,6677.80,0.0,0.6
8388608,8.000,4602.46,4656.58,4427.23,4750.59,0.1,1.7
16777216,16.000,4989.40,5040.96,4746.37,5259.70,0.1,3.2
33554432,32.000,5714.69,5717.35,5341.35,6113.87,0.3,5.6
67108864,64.000,6137.20,5817.12,5756.43,6796.94,0.8,10.4
134217728,128.000,6177.55,6188.96,6095.82,6229.32,0.2,20.7
268435456,256.000,6770.73,6771.05,6742.34,6800.91,0.1,37.8

# File Size Performance Summary for Write
file_size_bytes,file_size_mb,mean_throughput_mbs,median_throughput_mbs,min_throughput_mbs,max_throughput_mbs,stddev_ms,mean_time_ms
4096,0.004,11.24,10.82,10.02,12.64,0.0,0.3
8192,0.008,21.99,22.07,19.88,23.67,0.0,0.4
16384,0.016,27.08,28.15,17.60,35.59,0.2,0.6
32768,0.031,62.15,65.24,54.07,72.51,0.1,0.5
65536,0.062,108.06,163.61,46.78,169.38,0.4,0.6
131072,0.125,252.32,254.07,240.38,265.96,0.0,0.5
262144,0.250,457.21,460.41,396.83,558.04,0.1,0.5
524288,0.500,777.12,778.82,672.95,896.06,0.1,0.6
1048576,1.000,1046.46,1079.91,951.47,1102.54,0.1,1.0
2097152,2.000,1503.31,1471.67,1449.28,1612.90,0.1,1.3
4194304,4.000,1833.01,1870.91,1735.36,1885.90,0.1,2.2
8388608,8.000,1795.33,1834.02,1653.58,1964.64,0.3,4.5
16777216,16.000,1135.12,1654.43,488.59,1761.73,9.3,14.1
33554432,32.000,406.46,343.17,291.77,665.43,25.5,78.7
67108864,64.000,398.54,406.59,315.77,454.46,22.3,160.6
134217728,128.000,389.79,373.21,364.24,425.66,22.6,328.4
268435456,256.000,394.65,394.89,386.46,399.19,7.5,648.7

# File Size Performance Summary for Copy
file_size_bytes,file_size_mb,mean_throughput_mbs,median_throughput_mbs,min_throughput_mbs,max_throughput_mbs,stddev_ms,mean_time_ms
